x,open,high,low,close
2015-01-13T00:00:00.000,6250,6437.5,6250,6362.5
2015-01-14T00:00:00.000,6362.5,6400,6325,6350
2015-01-15T00:00:00.000,6375,6400,6325,6400
2015-01-16T00:00:00.000,6400,6412.5,6337.5,6362.5
2015-01-19T00:00:00.000,6350,6550,6350,6537.5
2015-01-20T00:00:00.000,6587.5,6725,6500,6700
2015-01-21T00:00:00.000,6712.5,8025,6700,7250
2015-01-22T00:00:00.000,7250,7400,7250,7337.5
2015-01-23T00:00:00.000,7375,7437.5,6900,7400
2015-01-26T00:00:00.000,7175,7362.5,6975,7050
2015-01-27T00:00:00.000,7087.5,7400,7087.5,7387.5
2015-01-28T00:00:00.000,7262.5,7500,7250,7350
2015-01-29T00:00:00.000,7250,7362.5,7237.5,7350
2015-01-30T00:00:00.000,7275,7325,7125,7250
2015-02-02T00:00:00.000,7050,7250,7025,7150
2015-02-03T00:00:00.000,7187.5,7237.5,7075,7150
2015-02-04T00:00:00.000,7250,7250,7050,7050
2015-02-05T00:00:00.000,7125,7137.5,6950,7037.5
2015-02-06T00:00:00.000,7125,7325,7025,7200
2015-02-09T00:00:00.000,7075,7312.5,7075,7262.5
2015-02-10T00:00:00.000,7275,7275,7075,7087.5
2015-02-11T00:00:00.000,7087.5,7150,7000,7037.5
2015-02-12T00:00:00.000,7037.5,7112.5,7025,7112.5
2015-02-13T00:00:00.000,7125,7125,7050,7112.5
2015-02-16T00:00:00.000,7125,7200,7125,7187.5
2015-02-17T00:00:00.000,7212.5,7225,7037.5,7100
2015-02-18T00:00:00.000,7100,7162.5,7025,7150
2015-02-20T00:00:00.000,7050,7125,7050,7100
2015-02-23T00:00:00.000,7162.5,7162.5,7000,7025
2015-02-24T00:00:00.000,7025,7037.5,6987.5,7012.5
2015-02-25T00:00:00.000,7087.5,7087.5,7012.5,7025
2015-02-26T00:00:00.000,7012.5,7112.5,6962.5,7112.5
2015-02-27T00:00:00.000,7112.5,7150,7087.5,7150
2015-03-02T00:00:00.000,7125,7212.5,7100,7162.5
2015-03-03T00:00:00.000,7200,7387.5,7200,7362.5
2015-03-04T00:00:00.000,7362.5,7487.5,7162.5,7275
2015-03-05T00:00:00.000,7250,7350,7187.5,7187.5
2015-03-06T00:00:00.000,7200,7287.5,7200,7262.5
2015-03-09T00:00:00.000,7225,7250,7112.5,7112.5
2015-03-10T00:00:00.000,7112.5,7300,7100,7250
2015-03-11T00:00:00.000,7162.5,7325,7112.5,7150
2015-03-12T00:00:00.000,7162.5,7325,7162.5,7300
2015-03-13T00:00:00.000,7375,7375,7262.5,7312.5
2015-03-16T00:00:00.000,7312.5,7750,7262.5,7500
2015-03-17T00:00:00.000,7700,7700,7437.5,7450
2015-03-18T00:00:00.000,7400,7450,7375,7450
2015-03-19T00:00:00.000,7500,7587.5,7425,7425
2015-03-20T00:00:00.000,7400,7587.5,7350,7550
2015-03-23T00:00:00.000,7550,7562.5,7375,7400
2015-03-24T00:00:00.000,7400,7412.5,7275,7350
2015-03-25T00:00:00.000,7312.5,7312.5,7125,7175
2015-03-26T00:00:00.000,7175,7187.5,7087.5,7087.5
2015-03-27T00:00:00.000,7050,7137.5,7012.5,7050
2015-03-30T00:00:00.000,7137.5,7187.5,7087.5,7100
2015-03-31T00:00:00.000,7175,7412.5,7150,7337.5
2015-04-01T00:00:00.000,7337.5,7350,7187.5,7200
2015-04-02T00:00:00.000,7237.5,7275,7150,7162.5
2015-04-06T00:00:00.000,7150,7200,7150,7162.5
2015-04-07T00:00:00.000,7200,7225,7162.5,7175
2015-04-08T00:00:00.000,7150,7300,7100,7250
2015-04-09T00:00:00.000,7212.5,7262.5,7200,7237.5
2015-04-10T00:00:00.000,7237.5,7275,7075,7125
2015-04-13T00:00:00.000,7100,7112.5,7062.5,7100
2015-04-14T00:00:00.000,7100,7100,7037.5,7075
2015-04-15T00:00:00.000,7075,7100,7062.5,7087.5
2015-04-16T00:00:00.000,7150,7200,7075,7200
2015-04-17T00:00:00.000,7150,7175,7137.5,7175
2015-04-20T00:00:00.000,7175,7175,7075,7100
2015-04-21T00:00:00.000,7075,7150,7075,7150
2015-04-22T00:00:00.000,7125,7125,7062.5,7125
2015-04-23T00:00:00.000,7087.5,7125,7037.5,7050
2015-04-24T00:00:00.000,7012.5,7075,7012.5,7050
2015-04-27T00:00:00.000,7075,7075,6900,6900
2015-04-28T00:00:00.000,6825,6825,6500,6550
2015-04-29T00:00:00.000,6525,6525,6275,6325
2015-04-30T00:00:00.000,6250,6775,6150,6600
2015-05-04T00:00:00.000,6750,6850,6650,6800
2015-05-05T00:00:00.000,6800,6900,6750,6862.5
2015-05-06T00:00:00.000,6800,6887.5,6762.5,6837.5
